City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp (F),Wind Speed
dikson,100,RU,1635628328,91,73.5069,80.5464,6.93,16.26
jamestown,90,US,1635628329,85,42.097,-79.2353,56.52,3.0
evensk,96,RU,1635628329,74,61.95,159.2333,8.69,11.16
half moon bay,90,US,1635628330,82,37.4636,-122.4286,73.2,1.99
sorland,100,NO,1635628330,90,67.667,12.6934,48.7,21.16
albany,91,US,1635628055,89,42.6001,-73.9662,58.46,3.0
new norfolk,85,AU,1635628330,57,-42.7826,147.0587,55.92,4.0
tasiilaq,88,GL,1635628331,64,65.6145,-37.6368,26.76,5.88
comodoro rivadavia,20,AR,1635628331,58,-45.8667,-67.5,51.66,6.91
krasnoselkup,100,RU,1635628332,95,65.7,82.4667,17.19,10.65
valparai,100,IN,1635628332,91,10.3667,76.9667,62.37,4.5
gudur,100,IN,1635628332,88,14.1333,79.85,78.58,5.14
vincennes,0,FR,1635628333,92,48.85,2.4333,53.89,4.61
barrow,90,US,1635628333,79,71.2906,-156.7887,17.62,0.0
cape town,71,ZA,1635628119,77,-33.9258,18.4232,63.09,1.01
port elizabeth,4,ZA,1635628080,93,-33.918,25.5701,57.09,3.42
rivera,13,UY,1635628314,69,-30.9053,-55.5508,79.03,4.99
ostrovnoy,100,RU,1635628333,94,68.0531,39.5131,33.96,10.38
saskylakh,100,RU,1635628049,93,71.9167,114.0833,9.75,11.63
beyneu,4,KZ,1635628334,66,45.3167,55.2,49.66,3.49
portland,20,US,1635628304,40,45.5234,-122.6762,63.34,4.0
norman wells,90,CA,1635628334,93,65.282,-126.8329,19.44,4.61
solwezi,50,ZM,1635628334,37,-12.1688,26.3894,69.12,4.81
kieta,96,PG,1635628335,82,-6.2167,155.6333,80.24,4.61
atuona,4,PF,1635628335,66,-9.8,-139.0333,78.08,16.06
novyy urengoy,98,RU,1635628231,92,66.0833,76.6333,8.89,14.2
mar del plata,75,AR,1635628066,82,-38.0023,-57.5575,62.1,3.0
lavrentiya,34,RU,1635628336,79,65.5833,-171.0,12.16,6.24
port alfred,79,ZA,1635628336,86,-33.5906,26.891,64.94,6.49
souillac,25,MU,1635628336,78,-20.5167,57.5167,71.37,3.02
terrace bay,69,CA,1635628119,72,48.7834,-87.1,47.7,4.32
marawi,29,PH,1635628337,96,7.9986,124.2928,66.65,0.78
shimoda,100,JP,1635628337,74,34.6667,138.95,58.1,8.19
richards bay,70,ZA,1635628259,86,-28.783,32.0377,63.21,7.34
mandalgovi,19,MN,1635628338,78,45.7625,106.2708,27.57,7.05
kahului,20,US,1635628338,63,20.8947,-156.47,85.26,12.66
shenjiamen,15,CN,1635628338,78,29.9576,122.298,64.85,8.37
san patricio,0,US,1635628063,17,28.017,-97.5169,86.41,2.17
klaksvik,100,FO,1635628116,91,62.2266,-6.589,47.32,12.46
luderitz,9,NA,1635628339,94,-26.6481,15.1594,58.98,4.43
port blair,99,IN,1635628339,81,11.6667,92.75,80.38,2.35
catarman,96,PH,1635628340,79,12.4989,124.6377,79.41,12.48
huilong,65,CN,1635628340,79,31.8111,121.655,62.04,6.13
chimbote,52,PE,1635628180,78,-9.0853,-78.5783,66.27,9.53
cascais,100,PT,1635628264,86,38.6979,-9.4215,70.95,3.0
alto araguaia,95,BR,1635628340,62,-17.3147,-53.2153,79.81,3.98
kaitangata,100,NZ,1635628068,57,-46.2817,169.8464,58.05,5.86
hermanus,75,ZA,1635628341,85,-34.4187,19.2345,61.9,8.46
tuktoyaktuk,77,CA,1635628089,89,69.4541,-133.0374,16.95,8.72
sao jose da coroa grande,0,BR,1635628341,72,-8.8978,-35.1478,77.41,10.85
carnarvon,0,AU,1635628103,72,-24.8667,113.6333,64.47,14.97
yellowknife,95,CA,1635628303,85,62.456,-114.3525,30.56,8.01
nikolskoye,97,RU,1635628342,92,59.7035,30.7861,47.01,7.63
naze,1,JP,1635628342,78,28.3667,129.4833,67.42,7.14
khatanga,73,RU,1635628342,100,71.9667,102.5,-6.5,2.19
xiaoweizhai,100,CN,1635628342,99,26.1903,107.5125,56.84,3.24
tautira,41,PF,1635628343,76,-17.7333,-149.15,82.42,16.62
port-gentil,100,GA,1635628343,93,-0.7193,8.7815,76.59,9.62
cherskiy,100,RU,1635628098,98,68.75,161.3,-0.96,5.77
severo-kurilsk,78,RU,1635628343,86,50.6789,156.125,40.5,11.41
tupik,43,RU,1635628344,44,54.4253,119.9327,20.8,4.18
shasta lake,100,US,1635628344,95,40.6804,-122.3708,69.44,1.79
raymond terrace,90,AU,1635628344,94,-32.75,151.75,62.01,6.91
ribeira grande,100,PT,1635628345,89,38.5167,-28.7,70.74,16.37
kadoma,97,JP,1635628345,71,34.7333,135.5833,60.78,4.41
valparaiso,0,CL,1635628345,72,-33.0393,-71.6273,64.63,9.22
flin flon,99,CA,1635628346,61,54.7682,-101.865,37.17,9.89
geraldton,0,AU,1635628346,82,-28.7667,114.6,52.21,9.22
victoria,97,HK,1635628347,83,22.2855,114.1577,75.33,1.01
yafran,96,LY,1635628347,50,32.0633,12.5286,64.72,2.95
lebu,100,CL,1635628062,73,-37.6167,-73.65,55.06,15.05
thompson,90,CA,1635628347,75,55.7435,-97.8558,37.56,11.5
longyearbyen,95,SJ,1635628347,83,78.2186,15.6401,17.8,2.62
provideniya,89,RU,1635628348,80,64.3833,-173.3,13.08,10.67
east london,80,ZA,1635628348,85,-33.0153,27.9116,64.81,7.4
pingliang,100,CN,1635628348,45,35.5392,106.6861,46.69,6.29
ponta do sol,31,PT,1635628349,76,32.6667,-17.1,72.72,6.96
itarema,26,BR,1635628349,74,-2.9248,-39.9167,80.55,12.24
lompoc,1,US,1635628252,77,34.6391,-120.4579,76.14,11.5
namibe,82,AO,1635628349,72,-15.1961,12.1522,68.2,7.74
fukue,5,JP,1635628350,69,32.6881,128.8419,66.69,11.81
aklavik,40,CA,1635628350,86,68.2191,-135.0107,17.6,3.44
carballo,85,ES,1635628350,89,43.213,-8.691,62.78,9.73
hay river,16,CA,1635628351,63,60.8156,-115.7999,34.07,10.56
flinders,0,AU,1635628351,83,-34.5833,150.8552,55.8,1.01
poum,23,NC,1635628351,71,-20.2333,164.0167,75.24,4.12
canutama,78,BR,1635628352,58,-6.5339,-64.3831,87.42,3.62
isla vista,75,US,1635628352,63,34.4133,-119.861,83.3,6.91
muli,11,MV,1635628352,75,2.9167,73.5667,82.47,13.78
maryborough,97,AU,1635628353,84,-25.5333,152.7,72.03,8.95
castro,82,BR,1635628353,90,-24.7911,-50.0119,64.35,10.18
ondjiva,71,AO,1635628353,27,-17.0667,15.7333,82.29,5.79
hithadhoo,100,MV,1635628179,74,-0.6,73.0833,83.08,19.35
esna,95,EG,1635628179,24,25.2934,32.554,83.77,6.11
grand gaube,6,MU,1635628354,84,-20.0064,57.6608,71.38,1.99
kruisfontein,1,ZA,1635628235,92,-34.0033,24.7314,54.88,2.59
bozeman,90,US,1635628354,56,45.6796,-111.0386,44.71,1.01
north platte,1,US,1635628354,43,41.1239,-100.7654,64.29,11.01
corrales,1,US,1635628355,21,35.2378,-106.6067,79.34,1.99
avarua,20,CK,1635628303,60,-21.2078,-159.775,75.25,13.8
nanortalik,46,GL,1635628181,73,60.1432,-45.2371,34.38,2.89
gamba,100,GA,1635628355,91,-2.65,10.0,76.62,7.27
halifax,71,CA,1635628141,84,44.6453,-63.5724,53.1,1.99
mahebourg,25,MU,1635628356,77,-20.4081,57.7,71.26,4.88
ermelo,37,ZA,1635628356,79,-26.5333,29.9833,53.11,7.14
moron,0,AR,1635628180,51,-34.6534,-58.6198,89.02,4.0
jian,10,CN,1635628357,73,27.1172,114.9793,59.54,3.22
kodiak,90,US,1635628357,81,57.79,-152.4072,47.71,34.52
charters towers,13,AU,1635628357,76,-20.1,146.2667,75.45,7.18
vaitape,15,PF,1635628357,68,-16.5167,-151.75,78.12,16.44
amboasary,39,MG,1635628358,82,-25.0333,46.3833,66.87,5.32
port-cartier,34,CA,1635628358,67,50.0334,-66.8654,45.75,4.9
namatanai,94,PG,1635628358,77,-3.6667,152.4333,81.7,7.07
port lincoln,0,AU,1635628359,74,-34.7333,135.8667,54.59,9.44
hervey bay,99,AU,1635628090,86,-25.2986,152.8535,77.04,14.99
bengkulu,100,ID,1635628359,90,-3.8004,102.2655,75.81,4.63
pangody,100,RU,1635628211,93,65.85,74.4859,12.27,16.11
simbahan,71,PH,1635628360,76,6.3032,120.5836,82.53,5.99
srostki,98,RU,1635628360,74,52.4189,85.7022,35.28,3.18
zasova,2,CZ,1635628360,58,49.4741,18.0444,55.89,17.38
georgetown,20,MY,1635628360,92,5.4112,100.3354,77.9,0.0
kalasin,13,TH,1635628361,90,16.5,103.5,72.41,5.84
nieuw amsterdam,40,SR,1635628361,82,5.8833,-55.0833,84.02,2.3
cabo san lucas,20,MX,1635628143,61,22.8909,-109.9124,89.51,14.97
brainerd,1,US,1635628361,47,46.358,-94.2008,57.22,8.05
ngama,90,TD,1635628362,15,11.7833,17.1667,88.59,8.05
bambous virieux,32,MU,1635628194,77,-20.3428,57.7575,71.22,6.06
vadso,99,NO,1635628362,78,70.0744,29.7487,20.28,6.49
bambanglipuro,98,ID,1635628362,91,-7.95,110.2833,77.02,3.47
laguna,1,US,1635628129,70,38.421,-121.4238,75.24,1.01
katsuura,100,JP,1635628363,69,35.1333,140.3,58.1,4.16
pangnirtung,100,CA,1635628363,99,66.1451,-65.7125,33.1,8.84
katherine,40,AU,1635628364,74,-14.4667,132.2667,80.92,2.3
caudry,100,FR,1635628364,90,50.1249,3.4119,51.08,8.77
telimele,91,GN,1635628364,97,10.9167,-13.3333,69.87,1.9
simao,42,CN,1635628365,99,22.7886,100.9748,59.0,1.52
eyrarbakki,81,IS,1635628365,75,63.863,-21.1481,34.21,10.71
powell river,0,CA,1635628365,48,49.8496,-124.5361,52.09,5.08
ziguinchor,100,SN,1635628365,91,12.5833,-16.2719,73.47,3.06
codrington,3,AU,1635628366,88,-38.2667,141.9667,45.77,8.16
gorbatovka,0,RU,1635628366,100,56.2531,43.7475,42.75,4.0
hamilton,90,US,1635628367,94,39.1834,-84.5333,57.42,1.01
beringovskiy,97,RU,1635628367,97,63.05,179.3167,5.79,17.85
kirya,9,TZ,1635628367,70,-3.9167,37.4833,75.34,5.88
sheridan,90,US,1635628368,68,44.8333,-106.9173,40.66,5.01
saint-philippe,86,RE,1635628368,79,-21.3585,55.7679,71.15,3.85
sao filipe,78,CV,1635628369,75,14.8961,-24.4956,79.9,11.74
toora-khem,100,RU,1635628369,81,52.4675,96.11,28.9,2.53
rio bonito,100,BR,1635628369,91,-22.7086,-42.6097,75.11,6.31
zyryanka,100,RU,1635628369,94,65.75,150.85,0.07,6.33
seoul,25,KR,1635628370,76,37.5683,126.9778,51.24,2.35
airai,32,TL,1635628084,91,-8.9266,125.4092,61.43,1.16
kargopol,100,RU,1635628370,91,61.5071,38.9456,42.89,6.96
cidreira,28,BR,1635628371,86,-30.1811,-50.2056,68.47,22.84
rorvik,30,NO,1635628110,83,64.8621,11.2373,49.03,13.2
grand-lahou,100,CI,1635628371,86,5.1367,-5.0242,78.4,7.2
rio gallegos,2,AR,1635628287,26,-51.6226,-69.2181,59.86,8.21
qaanaaq,0,GL,1635628075,54,77.484,-69.3632,2.01,8.72
fort-shevchenko,0,KZ,1635628371,74,44.5086,50.263,50.74,7.85
harnosand,100,SE,1635628144,87,62.6323,17.9379,43.0,5.91
algarrobo,100,CO,1635628372,82,10.1869,-74.5753,83.95,4.34
lasa,100,IT,1635628229,83,46.6166,10.7002,47.14,2.55
baniachang,57,BD,1635628372,61,24.5167,91.3667,72.7,4.88
bani,22,DO,1635628372,69,18.2833,-70.3333,86.76,7.9
kalmunai,100,LK,1635628373,89,7.4167,81.8167,77.5,7.52
port hardy,63,CA,1635628373,53,50.6996,-127.4199,45.43,4.83
rawson,85,AR,1635628373,61,-43.3002,-65.1023,50.54,25.7
nikolayevka,22,RU,1635628374,96,53.1257,47.2041,42.96,8.7
mangrol,55,IN,1635628374,43,21.1167,70.1167,75.63,7.45
ajdabiya,69,LY,1635628374,68,30.7554,20.2263,68.32,6.76
bridlington,45,GB,1635628175,82,54.0831,-0.1919,47.89,14.41
ternate,95,ID,1635628375,80,0.8,127.4,79.92,4.25
saint george,1,US,1635628186,32,37.1041,-113.5841,82.87,1.99
aripuana,55,BR,1635628375,62,-9.1667,-60.6333,84.34,2.86
araouane,89,ML,1635628126,20,18.9048,-3.5265,87.64,11.52
mildura,0,AU,1635628375,62,-34.2,142.15,52.07,5.75
narsaq,92,GL,1635628339,68,60.9167,-46.05,30.42,4.85
toamasina,79,MG,1635628376,86,-18.1667,49.3833,73.06,2.62
hasaki,75,JP,1635628376,61,35.7333,140.8333,52.2,6.49
ponta delgada,75,PT,1635628376,94,37.7333,-25.6667,73.51,13.8
yeppoon,23,AU,1635628377,74,-23.1333,150.7333,74.98,3.42
tolyatti,100,RU,1635628377,90,53.5303,49.3461,44.96,10.96
pitsunda,2,GE,1635628378,57,43.1592,40.3378,56.71,5.3
lichinga,4,MZ,1635628378,61,-13.3128,35.2406,68.2,8.03
acapulco,40,MX,1635628240,74,16.8634,-99.8901,87.62,6.91
tshela,92,CD,1635628379,97,-4.9833,12.9333,74.39,2.33
haines junction,100,CA,1635628379,77,60.7522,-137.5108,35.56,6.49
vallenar,0,CL,1635628379,24,-28.5708,-70.7581,84.11,7.96
san policarpo,100,PH,1635628231,76,12.1791,125.5072,81.45,18.1
anju,100,KP,1635628380,77,39.6178,125.6647,52.61,2.77
nosy varika,94,MG,1635628380,86,-20.5833,48.5333,71.76,5.88
sovetskiy,70,RU,1635628381,98,61.3614,63.5842,15.3,3.24
perth,0,AU,1635628381,91,-31.9333,115.8333,52.79,0.0
la ronge,100,CA,1635628382,63,55.1001,-105.2842,36.81,12.59
kemijarvi,100,FI,1635628382,98,66.7131,27.4306,41.32,9.44
kavaratti,77,IN,1635628382,72,10.5669,72.642,81.77,0.83
nsoko,100,SZ,1635628383,69,-27.0333,31.95,64.58,3.44
bima,94,ID,1635628383,91,-8.4667,118.7167,77.36,2.01
tiksi,96,RU,1635628383,95,71.6872,128.8694,-0.63,8.37
kautokeino,100,NO,1635628384,98,69.0125,23.0412,28.8,7.31
yantikovo,100,RU,1635628384,92,55.8216,47.9104,45.32,9.71
comarapa,87,BO,1635628385,63,-17.9,-64.4833,67.8,7.29
aykhal,100,RU,1635628385,97,66.0,111.5,16.11,6.87
chuy,84,UY,1635628385,80,-33.6971,-53.4616,69.15,13.71
starosubkhangulovo,100,RU,1635628386,98,53.1031,57.4423,40.64,8.32
arraial do cabo,75,BR,1635628349,88,-22.9661,-42.0278,71.46,9.22
salinas,20,US,1635628234,73,36.6777,-121.6555,72.99,8.05
bintulu,100,MY,1635628386,89,3.1667,113.0333,77.38,3.51
asau,0,RO,1635628387,95,46.4333,26.4,40.95,1.25
lubango,95,AO,1635628387,61,-14.9172,13.4925,65.17,4.59
hwange,96,ZW,1635628387,51,-18.3693,26.5019,79.07,0.96
bastia,90,FR,1635628388,86,42.6667,9.3333,65.3,8.05
port keats,72,AU,1635628388,79,-14.25,129.55,80.69,2.64
berlevag,97,NO,1635628388,72,70.8578,29.0864,38.89,4.36
praia,0,CV,1635628135,83,14.9215,-23.5087,77.54,10.36
fortuna,20,US,1635628349,67,40.5982,-124.1573,64.36,1.99
vardo,94,NO,1635628389,74,70.3705,31.1107,38.75,7.7
coquimbo,20,CL,1635628389,77,-29.9533,-71.3436,60.53,8.05
bibiani,92,GH,1635628390,93,6.4635,-2.3194,73.4,1.63
sokolo,61,ML,1635628390,24,14.7328,-6.1219,88.72,6.02
wewak,53,PG,1635628249,83,-3.5534,143.6268,80.26,3.22
brownsville,1,US,1635628274,33,25.9018,-97.4975,88.02,4.0
doha,0,QA,1635628390,76,25.2867,51.5333,80.58,2.3
touros,66,BR,1635628149,77,-5.1989,-35.4608,81.5,18.03
riosucio,91,CO,1635628391,90,5.4216,-75.7032,66.42,2.64
marsa matruh,16,EG,1635628391,72,31.3525,27.2453,72.82,9.82
samarinda,97,ID,1635628144,98,-0.5,117.15,72.5,0.81
clyde river,100,CA,1635628392,97,70.4692,-68.5914,30.43,13.53
cabedelo,5,BR,1635628392,71,-6.9811,-34.8339,79.47,16.2
nuuk,75,GL,1635628392,86,64.1835,-51.7216,34.41,32.21
salinopolis,18,BR,1635628392,84,-0.6136,-47.3561,79.7,7.11
adrar,100,MR,1635628393,21,20.5022,-10.0711,82.53,15.97
burnie,100,AU,1635628393,84,-41.0667,145.9167,51.94,11.9
cap malheureux,6,MU,1635628393,84,-19.9842,57.6142,71.47,1.99
kasamwa,41,TZ,1635628394,78,-2.85,32.4333,68.52,4.88
kavieng,50,PG,1635628394,77,-2.5744,150.7967,82.65,12.86
amguri,98,IN,1635628394,86,26.8,94.5333,68.56,3.22
tezu,38,IN,1635628395,49,27.9167,96.1667,66.99,3.36
vanimo,95,PG,1635628395,89,-2.6741,141.3028,77.77,4.34
gravelbourg,81,CA,1635628396,36,49.8834,-106.5512,39.83,16.22
saint-georges,20,GD,1635628271,70,12.0564,-61.7485,83.88,13.8
omboue,100,GA,1635628396,91,-1.5746,9.2618,76.75,6.02
pevek,100,RU,1635628396,96,69.7008,170.3133,-3.24,10.49
sal rei,100,CV,1635628397,77,16.1833,-22.9167,79.36,17.74
iqaluit,100,CA,1635628257,64,63.7506,-68.5145,36.7,15.99
angoram,79,PG,1635628397,98,-4.0625,144.0661,75.72,1.92
meulaboh,100,ID,1635628262,88,4.1363,96.1285,75.47,4.41
central point,75,US,1635628397,80,42.376,-122.9164,64.17,0.0
mount gambier,17,AU,1635628398,85,-37.8333,140.7667,45.79,4.63
arman,100,RU,1635628398,57,59.7,150.1667,21.58,11.9
upernavik,100,GL,1635628398,57,72.7868,-56.1549,27.01,6.51
gazanjyk,66,TM,1635628399,51,39.2446,55.5154,55.13,8.84
alofi,100,NU,1635628399,74,-19.0595,-169.9187,76.44,16.11
pochutla,49,MX,1635628400,65,15.7432,-96.4661,85.05,7.09
buala,88,SB,1635628169,76,-8.145,159.5921,82.71,9.98
trindade,99,BR,1635628229,85,-16.6494,-49.4889,76.75,9.42
bay roberts,0,CA,1635628400,85,47.5999,-53.2648,44.44,1.01
todos santos,9,MX,1635628401,76,23.45,-110.2167,89.01,10.8
monrovia,100,LR,1635628109,87,6.3005,-10.7969,76.77,5.21
ust-tsilma,100,RU,1635628401,96,65.441,52.1498,22.12,5.08
solec kujawski,0,PL,1635628401,60,53.0837,18.2257,52.88,3.0
akyab,60,MM,1635628402,81,20.15,92.9,78.03,4.25
los llanos de aridane,0,ES,1635628402,75,28.6585,-17.9182,65.95,4.0
kochi,100,IN,1635628402,90,9.9399,76.2602,76.98,3.98
bon accord,0,CA,1635628403,49,53.8335,-113.4187,41.88,14.38
chicama,27,PE,1635628403,66,-7.8447,-79.1469,63.14,9.15
taoudenni,1,ML,1635628403,25,22.6783,-3.9836,87.01,6.82
guerrero negro,0,MX,1635628404,51,27.9769,-114.0611,75.4,11.5
glace bay,75,CA,1635628404,84,46.1969,-59.957,49.59,4.0
bejar,100,ES,1635628404,97,40.3864,-5.7634,54.57,3.4
basco,85,PH,1635628405,69,20.4487,121.9702,80.89,16.06
hirado,1,JP,1635628405,72,33.3597,129.5531,61.36,14.88
muros,100,ES,1635628192,89,42.7762,-9.0603,64.24,12.73
ziro,45,IN,1635628405,87,27.6333,93.8333,45.18,2.44
rocha,100,UY,1635628406,80,-34.4833,-54.3333,70.21,9.53
pontianak,90,ID,1635628406,94,-0.0333,109.3333,78.78,2.3
tevaitoa,8,PF,1635628406,70,-16.7833,-151.5,77.65,16.49
talnakh,100,RU,1635628264,96,69.4865,88.3972,13.21,4.88
nouadhibou,2,MR,1635628257,83,20.931,-17.0347,68.31,18.5
dolores,0,AR,1635628407,65,-36.3132,-57.6792,76.24,10.85
atasu,100,KZ,1635628407,64,48.6814,71.6433,38.48,14.67
lorengau,89,PG,1635628408,79,-2.0226,147.2712,82.44,6.8
guilin,100,CN,1635628353,91,25.2819,110.2864,62.49,2.75
korla,42,CN,1635628408,34,41.7597,86.1469,47.64,1.07
okhotsk,3,RU,1635628347,71,59.3833,143.3,10.49,21.65
saldanha,37,ZA,1635628409,88,-33.0117,17.9442,61.32,11.74
changtu,70,CN,1635628409,67,42.7788,124.0955,39.58,8.86
usinsk,100,RU,1635628409,92,65.9939,57.5281,9.46,8.7
mananjary,89,MG,1635628410,88,-21.2167,48.3333,70.81,6.11
te anau,100,NZ,1635628410,94,-45.4167,167.7167,47.35,4.14
axim,72,GH,1635628411,86,4.8699,-2.2405,78.67,7.81
stolin,28,BY,1635628411,67,51.8912,26.846,47.35,11.88
faanui,15,PF,1635628412,69,-16.4833,-151.75,78.13,16.46
tagusao,52,PH,1635628412,83,9.1924,117.8141,79.48,3.44
afua,78,BR,1635628412,84,-0.1567,-50.3867,79.25,3.67
sambava,79,MG,1635628413,87,-14.2667,50.1667,74.43,7.87
shingu,82,JP,1635628413,81,33.7333,135.9833,60.06,5.82
odesskoye,100,RU,1635628414,97,54.2111,72.9651,34.03,17.34
zemio,65,CF,1635628414,93,5.0314,25.1361,71.01,3.29
san quintin,0,MX,1635628414,69,30.4833,-115.95,69.17,13.09
pecos,1,US,1635628414,10,31.4229,-103.4932,87.89,17.27
gizo,67,SB,1635628415,74,-8.103,156.8419,83.25,6.85
mehriz,3,IR,1635628415,31,31.5917,54.4318,55.9,3.98
cairns,56,AU,1635628415,83,-16.9167,145.7667,78.75,3.44
saint-francois,90,FR,1635628416,77,46.4154,3.9054,58.44,4.61
miguel hidalgo,40,MX,1635628416,21,19.4225,-99.2028,72.81,3.0
eseka,100,CM,1635628416,99,3.65,10.7667,72.37,1.3
mehamn,92,NO,1635628417,76,71.0357,27.8492,38.7,6.33
beatrice,1,US,1635628417,30,40.2681,-96.747,72.45,11.5
tieli,96,CN,1635628417,47,46.95,128.05,32.77,5.64
shinshiro,84,JP,1635628418,78,34.9,137.5,60.17,5.01
boa vista,40,BR,1635628418,43,2.8197,-60.6733,93.18,9.22
ladario,20,BR,1635628418,83,-19.0047,-57.6017,77.29,4.61
arroyo,0,ES,1635628419,84,41.6096,-4.7969,59.18,5.75
palmer,90,US,1635628419,84,42.1584,-72.3287,59.52,1.01
beirut,0,LB,1635628420,60,33.8889,35.4944,72.34,4.61
marathon,1,US,1635628420,65,44.9,-89.7668,61.0,4.61
kismayo,8,SO,1635628420,84,-0.3582,42.5454,78.53,11.5
san carlos de bariloche,0,AR,1635628420,18,-41.1456,-71.3082,64.44,17.27
sterling,75,US,1635628421,78,39.0062,-77.4286,63.41,7.0
fort nelson,7,CA,1635628421,32,58.8053,-122.7002,41.83,3.29
saint-pierre,0,RE,1635628422,78,-21.3393,55.4781,71.24,6.91
puerto quijarro,40,BO,1635628270,31,-17.7833,-57.7667,97.86,4.09
birao,98,CF,1635628422,27,10.2849,22.7882,78.51,1.59
merzifon,0,TR,1635628422,87,40.8733,35.4631,38.66,4.61
salalah,0,OM,1635628423,65,17.0151,54.0924,78.89,4.61
kloulklubed,100,PW,1635628423,78,7.0419,134.2556,79.3,16.98
baglung,84,NP,1635628423,93,28.2719,83.5898,59.9,0.96
alyangula,63,AU,1635628424,78,-13.8483,136.4192,81.0,5.14
angoche,3,MZ,1635628424,73,-16.2325,39.9086,74.59,8.68
vyartsilya,85,RU,1635628424,97,62.1764,30.693,40.33,6.2
cabra,100,ES,1635628425,88,37.4725,-4.4421,67.44,16.08
torbay,0,CA,1635628262,77,47.6666,-52.7314,43.68,8.93
pingzhuang,100,CN,1635628425,95,42.0372,119.2889,35.76,8.57
tahoua,0,NE,1635628425,13,14.8888,5.2692,86.23,8.01
tapejara,100,BR,1635628426,83,-28.0681,-52.0139,67.39,8.68
jasper,1,US,1635628327,45,37.2001,-94.3502,65.01,1.99
tuatapere,100,NZ,1635628426,95,-46.1333,167.6833,49.62,16.4
guiratinga,96,BR,1635628427,46,-16.3494,-53.7583,87.58,3.42
lagoa,100,PT,1635628427,91,39.05,-27.9833,69.46,21.47
ayan,0,RU,1635628427,51,56.45,138.1667,22.26,15.48
cangucu,76,BR,1635628428,78,-31.395,-52.6756,70.81,11.99
nizwa,1,OM,1635628428,31,22.9333,57.5333,75.52,2.44
hirara,30,JP,1635628428,74,24.8,125.2833,75.49,14.18
simplicio mendes,36,BR,1635628429,27,-7.8539,-41.9103,89.02,4.9
dingle,98,PH,1635628429,91,10.9995,122.6711,74.57,8.23
baarle-hertog,90,BE,1635628429,98,51.4041,4.8916,54.27,6.91
ismailia,76,EG,1635628429,73,30.6043,32.2723,71.04,6.96
phonhong,67,LA,1635628430,95,18.5007,102.4166,72.34,1.45
roebourne,0,AU,1635628430,72,-20.7833,117.1333,71.37,3.29
verkhoyansk,53,RU,1635628431,100,67.5447,133.385,-14.31,2.46
rudnichnyy,89,RU,1635628431,99,59.617,52.4703,29.28,3.31
frontignan,98,FR,1635628432,98,43.4485,3.754,66.06,20.36
sept-iles,43,CA,1635628282,88,50.2001,-66.3821,46.06,1.01
isangel,0,VU,1635628432,70,-19.55,169.2667,79.07,4.54
vostok,100,RU,1635628433,83,46.4856,135.8833,32.95,1.16
general roca,100,AR,1635628433,19,-39.0333,-67.5833,70.2,17.38
mahanoro,84,MG,1635628433,87,-19.9,48.8,71.1,4.18
tremedal,98,BR,1635628273,55,-14.9758,-41.4108,79.12,6.87
gat,57,IL,1635628434,61,31.61,34.7642,72.39,2.95
